5 25 1   1.0   1.0 
   0.40000000  -0.93187925  -0.28905428  -0.13449547   0.63508487   0.68234472
   0.52916667  -1.09047310  -0.50503723  -0.30623377   0.28042648   0.32105363
   0.65833333  -1.14324326  -0.60593226  -0.36428679   0.04626343   0.09923919
   0.78750000  -1.15225034  -0.65520238  -0.37441504  -0.12471013  -0.04430707
   0.91666667  -1.14205945  -0.67923855  -0.36541542  -0.25416994  -0.14155869
   1.04583333  -1.12375445  -0.69042621  -0.37166796  -0.33133932  -0.20747289
   1.17500000  -1.10292696  -0.69502562  -0.44165390  -0.32073313  -0.25050315
   1.30416667  -1.08250936  -0.69621006  -0.50237781  -0.30338343  -0.27659830
   1.43333333  -1.06404523  -0.69556032  -0.54987467  -0.29029478  -0.28878609
   1.56250000  -1.04824227  -0.69385919  -0.58610019  -0.29547432  -0.27878107
   1.69166667  -1.03544212  -0.69129289  -0.61287463  -0.29545725  -0.27371209
   1.82083333  -1.02536124  -0.68801435  -0.63170051  -0.29310973  -0.27268703
   1.95000000  -1.01768077  -0.68402105  -0.64407630  -0.29027676  -0.27438742
   2.07916667  -1.01197989  -0.67936619  -0.65136706  -0.28806421  -0.27766244
   2.20833333  -1.00784535  -0.67413564  -0.65475178  -0.28702491  -0.28172073
   2.33750000  -1.00490483  -0.66843429  -0.65520405  -0.28732761  -0.28606966
   2.46666667  -1.00285190  -0.66236737  -0.65350395  -0.29041437  -0.28886946
   2.59583333  -1.00144494  -0.65604637  -0.65027076  -0.29457810  -0.29136286
   2.72500000  -1.00045882  -0.64959245  -0.64598415  -0.29844395  -0.29447700
   2.85416667  -0.99982762  -0.64306253  -0.64099849  -0.30195045  -0.29784692
   2.98333333  -0.99938150  -0.63659013  -0.63560780  -0.30504462  -0.30119959
   3.11250000  -0.99909339  -0.63022284  -0.63001051  -0.30771248  -0.30432828
   3.24166667  -0.99890449  -0.62436642  -0.62403217  -0.30995561  -0.30710896
   3.37083333  -0.99878044  -0.61879083  -0.61806882  -0.31179596  -0.30948434
   3.50000000  -0.99869901  -0.61336612  -0.61236894  -0.31327030  -0.31144662
