3 25 1   1.0   1.0 
   0.40000000  -0.91563853  -0.25546279  -0.09997696   0.73607487
   0.52916667  -1.07203919  -0.47130155  -0.27208938   0.37937546
   0.65833333  -1.12210243  -0.57428065  -0.33098060   0.16763624
   0.78750000  -1.12784104  -0.62708831  -0.34013852   0.03881338
   0.91666667  -1.11397315  -0.65530668  -0.32605422  -0.04278345
   1.04583333  -1.09158037  -0.67058573  -0.30078613  -0.09492897
   1.17500000  -1.06601462  -0.67853610  -0.26998025  -0.12716640
   1.30416667  -1.03990824  -0.68191483  -0.23656909  -0.14560235
   1.43333333  -1.01453751  -0.68215295  -0.20317648  -0.15428393
   1.56250000  -0.99051627  -0.68012947  -0.17344349  -0.15591276
   1.69166667  -0.96813400  -0.67649884  -0.15235221  -0.15100065
   1.82083333  -0.94749835  -0.67176259  -0.14494692  -0.13709367
   1.95000000  -0.92859945  -0.66627447  -0.13471363  -0.13031789
   2.07916667  -0.91135682  -0.66027372  -0.12827634  -0.12247895
   2.20833333  -0.89565776  -0.65393231  -0.12881798  -0.10900125
   2.33750000  -0.88138161  -0.64738693  -0.13038535  -0.09505362
   2.46666667  -0.86841091  -0.64075334  -0.13196167  -0.08142288
   2.59583333  -0.85663514  -0.63413117  -0.13293010  -0.06882821
   2.72500000  -0.84595143  -0.62760509  -0.13294731  -0.05781715
   2.85416667  -0.83626471  -0.62124477  -0.13185299  -0.04870230
   2.98333333  -0.82748770  -0.61510461  -0.12961235  -0.04155993
   3.11250000  -0.81954075  -0.60922405  -0.12628071  -0.03627653
   3.24166667  -0.81235122  -0.60362840  -0.12197946  -0.03261557
   3.37083333  -0.80585267  -0.59833041  -0.11687632  -0.03028116
   3.50000000  -0.79998388  -0.59333230  -0.11116697  -0.02896701
