   0.50000000  -1.02624427
   0.56122449  -1.06841461
   0.62244898  -1.09252615
   0.68367347  -1.10460917
   0.74489796  -1.10855245
   0.80612245  -1.10693380
   0.86734694  -1.10150524
   0.92857143  -1.09348450
   0.98979592  -1.08373276
   1.05102041  -1.07286545
   1.11224490  -1.06132398
   1.17346939  -1.04942446
   1.23469388  -1.03739224
   1.29591837  -1.02538736
   1.35714286  -1.01352322
   1.41836735  -1.00188033
   1.47959184  -0.99051609
   1.54081633  -0.97947145
   1.60204082  -0.96877515
   1.66326531  -0.95844643
   1.72448980  -0.94849667
   1.78571429  -0.93893071
   1.84693878  -0.92974797
   1.90816327  -0.92094362
   1.96938776  -0.91250967
   2.03061224  -0.90443594
   2.09183673  -0.89671094
   2.15306122  -0.88932242
   2.21428571  -0.88225788
   2.27551020  -0.87550482
   2.33673469  -0.86905095
   2.39795918  -0.86288428
   2.45918367  -0.85699317
   2.52040816  -0.85136632
   2.58163265  -0.84599283
   2.64285714  -0.84086214
   2.70408163  -0.83596410
   2.76530612  -0.83128890
   2.82653061  -0.82682714
   2.88775510  -0.82256977
   2.94897959  -0.81850812
   3.01020408  -0.81463390
   3.07142857  -0.81093914
   3.13265306  -0.80741622
   3.19387755  -0.80405784
   3.25510204  -0.80085699
   3.31632653  -0.79780692
   3.37755102  -0.79490113
   3.43877551  -0.79213336
   3.50000000  -0.78949756
