R(Bohr) E_HL(Ha)
0.25 1.664983278942978
0.2989949748743719 1.0267636362911547
0.3479899497487437 0.5746620463160763
0.3969849246231156 0.24003742084806734
0.4459798994974874 -0.015668384448595973
0.4949748743718593 -0.21580549039266983
0.5439698492462312 -0.3753548459383059
0.5929648241206029 -0.5043783836510877
0.6419597989949748 -0.609890515661199
0.6909547738693467 -0.6969343234135785
0.7399497487437185 -0.7692309001457833
0.7889447236180904 -0.8295872836914455
0.8379396984924623 -0.880161698524244
0.8869346733668342 -0.922641215234975
0.935929648241206 -0.9583638681851089
0.9849246231155778 -0.9884045297187455
1.0339195979899496 -1.0136365298401666
1.0829145728643215 -1.0347766760192931
1.1319095477386933 -1.0524186811830578
1.1809045226130652 -1.0670583489635972
1.229899497487437 -1.079112800590745
1.278894472361809 -1.0889353298437827
1.3278894472361809 -1.096827005976699
1.3768844221105527 -1.103045827185752
1.4258793969849246 -1.1078140077853098
1.4748743718592965 -1.1113238282917826
1.5238693467336684 -1.1137423680707448
1.57286432160804 -1.1152153612602222
1.621859296482412 -1.1158703591134091
1.6708542713567838 -1.1158193394508529
1.7198492462311556 -1.115160872277897
1.7688442211055275 -1.113981926817872
1.8178391959798994 -1.1123593871304522
1.8668341708542713 -1.1103613296295423
1.9158291457286432 -1.108048105108672
1.964824120603015 -1.1054732595417844
2.0138190954773867 -1.1026843213802453
2.0628140703517586 -1.0997234778892895
2.1118090452261304 -1.0966281589433735
2.1608040201005023 -1.0934315433932975
2.209798994974874 -1.0901630004494949
2.258793969849246 -1.0868484763595
2.307788944723618 -1.0835108348890294
2.35678391959799 -1.080170158665099
2.4057788944723617 -1.0768440172438642
2.4547738693467336 -1.073547706776902
2.5037688442211055 -1.07029446532927
2.5527638190954773 -1.0670956672207643
2.601758793969849 -1.0639609991942711
2.650753768844221 -1.060898620742698
2.699748743718593 -1.0579153105329835
2.748743718592965 -1.0550166005393473
2.7977386934673367 -1.052206899227648
2.8467336683417086 -1.0494896049096776
2.89572864321608 -1.0468672102029941
2.944723618090452 -1.0443413983822276
2.993718592964824 -1.0419131322862918
3.0427135678391957 -1.0395827363480306
3.0917085427135675 -1.0373499722345305
3.1407035175879394 -1.0352141085242574
3.1896984924623113 -1.033173984798372
3.238693467336683 -1.0312280704855221
3.287688442211055 -1.0293745187699403
3.336683417085427 -1.0276112158499628
3.385678391959799 -1.0259358258165683
3.4346733668341707 -1.0243458314079272
3.4836683417085426 -1.0228385708851966
3.5326633165829144 -1.0214112712660008
3.5816582914572863 -1.0200610781445452
3.630653266331658 -1.0187850823205518
3.67964824120603 -1.017580343452804
3.728643216080402 -1.0164439109467054
3.777638190954774 -1.0153728422787371
3.8266331658291457 -1.0143642189538715
3.8756281407035176 -1.013415160284819
3.924623115577889 -1.0125228351744244
3.973618090452261 -1.0116844720746052
4.022613065326633 -1.010897367286978
4.071608040201005 -1.010158891761813
4.1206030150753765 -1.0094664965432554
4.169597989949748 -1.0088177169999588
4.21859296482412 -1.008210175971411
4.267587939698492 -1.0076415859514536
4.316582914572864 -1.0071097504217936
4.365577889447236 -1.006612564439805
4.414572864321608 -1.0061480145766335
4.46356783919598 -1.0057141782936327
4.5125628140703515 -1.0053092228374798
4.561557788944723 -1.0049314037270105
4.610552763819095 -1.0045790628978688
4.659547738693467 -1.0042506265645255
4.708542713567839 -1.0039446028530772
4.757537688442211 -1.0036595792525087
4.806532663316583 -1.0033942199267685
4.855527638190955 -1.0031472629250888
4.9045226130653266 -1.0029175173234375
4.953517587939698 -1.0027038603258343
5.00251256281407 -1.0025052343504635
5.051507537688442 -1.0023206441220671
5.100502512562814 -1.0021491537889697
5.149497487437186 -1.001989884080273
5.198492462311558 -1.0018420095162266
5.24748743718593 -1.0017047556825127
5.296482412060302 -1.0015773965771746
5.3454773869346734 -1.001459252037126
5.394472361809045 -1.001349685249607
5.443467336683417 -1.0012481003525677
5.492462311557788 -1.001153940126746
5.54145728643216 -1.0010666837811704
5.590452261306532 -1.0009858448328968
5.639447236180904 -1.000910969081027
5.688442211055276 -1.0008416326743836
5.737437185929648 -1.000777440271674
5.7864321608040195 -1.000718023292499
5.835427135678391 -1.000663038257193
5.884422110552763 -1.0006121652131637
5.933417085427135 -1.0005651062451635
5.982412060301507 -1.0005215840667299
6.031407035175879 -1.0004813406898936
6.080402010050251 -1.0004441361701595
6.129396984924623 -1.0004097474236997
6.1783919597989945 -1.0003779671136706
6.227386934673366 -1.0003486026025614
6.276381909547738 -1.0003214749675085
6.32537688442211 -1.0002964180755327
6.374371859296482 -1.000273277715732
6.423366834170854 -1.0002519107855108
6.472361809045226 -1.000232184528014
6.521356783919598 -1.0002139758180193
6.5703517587939695 -1.000197170493628
6.619346733668341 -1.0001816627311975
6.668341708542713 -1.0001673544610494
6.717336683417085 -1.000154154821602
6.766331658291457 -1.0001419796496598
6.815326633165829 -1.000130751004713
6.864321608040201 -1.0001203967251888
6.913316582914573 -1.0001108500147013
6.9623115577889445 -1.0001020490564458
7.011306532663316 -1.0000939366539747
7.060301507537688 -1.0000864598966923
7.10929648241206 -1.0000795698484852
7.158291457286432 -1.0000732212580066
7.207286432160804 -1.0000673722892024
7.256281407035176 -1.0000619842707572
7.305276381909548 -1.0000570214632112
7.3542713567839195 -1.0000524508425739
7.403266331658291 -1.000048241899331
7.452261306532663 -1.0000443664518082
7.501256281407035 -1.0000407984729163
7.550251256281407 -1.0000375139293691
7.599246231155778 -1.0000344906325156
7.64824120603015 -1.0000317080999857
7.697236180904522 -1.000029147427403
7.746231155778894 -1.0000267911694576
7.7952261306532655 -1.0000246232296908
7.844221105527637 -1.0000226287583707
7.893216080402009 -1.0000207940578956
7.942211055276381 -1.0000191064951838
7.991206030150753 -1.0000175544205558
8.040201005025125 -1.000016127092645
8.089195979899497 -1.0000148146089005
8.138190954773869 -1.000013607841283
8.18718592964824 -1.000012498376774
8.236180904522612 -1.0000114784623537
8.285175879396984 -1.000010540954118
8.334170854271356 -1.0000096792702327
8.383165829145728 -1.0000088873474469
8.4321608040201 -1.000008159600899
8.481155778894472 -1.0000074908869767
8.530150753768844 -1.0000068764690035
8.579145728643216 -1.00000631198554
8.628140703517587 -1.0000057934211093
8.67713567839196 -1.0000053170791636
8.726130653266331 -1.0000048795571241
8.775125628140703 -1.0000044777233394
8.824120603015075 -1.00000410869582
8.873115577889447 -1.00000376982261
8.922110552763819 -1.0000034586636797
8.97110552763819 -1.000003172974217
9.020100502512562 -1.0000029106892168
9.069095477386934 -1.0000026699092661
9.118090452261306 -1.000002448887436
9.167085427135678 -1.0000022460171951
9.21608040201005 -1.000002059821267
9.265075376884422 -1.0000018889413587
9.314070351758794 -1.0000017321286918
9.363065326633166 -1.0000015882352795
9.412060301507537 -1.0000014562058865
9.46105527638191 -1.0000013350706212
9.510050251256281 -1.0000012239381122
9.559045226130653 -1.0000011219892235
9.608040201005025 -1.000001028471265
9.657035175879397 -1.0000009426926615
9.706030150753769 -1.0000008640180438
9.75502512562814 -1.000000791863729
9.804020100502512 -1.000000725693561
