0.50   0.335631
0.58   0.107705
0.65  -0.058674
0.73  -0.183068
0.80  -0.277731
0.88  -0.350721
0.95  -0.407542
1.03  -0.452071
1.11  -0.487109
1.18  -0.514728
1.26  -0.536483
1.33  -0.553562
1.41  -0.566883
1.48  -0.577164
1.56  -0.584976
1.64  -0.590773
1.71  -0.594920
1.79  -0.597717
1.86  -0.599405
1.94  -0.600184
2.02  -0.600219
2.09  -0.599643
2.17  -0.598569
2.24  -0.597088
2.32  -0.595277
2.39  -0.593198
2.47  -0.590905
2.55  -0.588442
2.62  -0.585848
2.70  -0.583153
2.77  -0.580388
2.85  -0.577577
2.92  -0.574743
3.00  -0.571906
3.08  -0.569082
3.15  -0.566288
3.23  -0.563537
3.30  -0.560841
3.38  -0.558207
3.45  -0.555643
3.53  -0.553155
3.61  -0.550746
3.68  -0.548417
3.76  -0.546170
3.83  -0.544005
3.91  -0.541921
3.98  -0.539916
4.06  -0.537989
4.14  -0.536138
4.21  -0.534361
4.29  -0.532656
4.36  -0.531020
4.44  -0.529452
4.52  -0.527949
4.59  -0.526508
4.67  -0.525129
4.74  -0.523808
4.82  -0.522544
4.89  -0.521336
4.97  -0.520181
5.05  -0.519077
5.12  -0.518022
5.20  -0.517016
5.27  -0.516056
5.35  -0.515141
5.42  -0.514269
5.50  -0.513438
5.58  -0.512647
5.65  -0.511895
5.73  -0.511180
5.80  -0.510500
5.88  -0.509855
5.95  -0.509242
6.03  -0.508661
6.11  -0.508110
6.18  -0.507588
6.26  -0.507094
6.33  -0.506626
6.41  -0.506184
6.48  -0.505766
6.56  -0.505371
6.64  -0.504997
6.71  -0.504645
6.79  -0.504313
6.86  -0.504000
6.94  -0.503705
7.02  -0.503428
7.09  -0.503166
7.17  -0.502920
7.24  -0.502689
7.32  -0.502472
7.39  -0.502267
7.47  -0.502076
7.55  -0.501895
7.62  -0.501726
7.70  -0.501568
7.77  -0.501419
7.85  -0.501280
7.92  -0.501149
8.00  -0.501026
