0.50   -0.42535103
0.69   -0.83881872
0.88   -1.01700951
1.08   -1.09460025
1.27   -1.12383546
1.46   -1.12830585
1.65   -1.11969898
1.85   -1.10422181
2.04   -1.08534623
2.23   -1.06506085
2.42   -1.04450235
2.62   -1.02431152
2.81   -1.00484512
3.00   -0.98629984
3.19   -0.96878023
3.38   -0.95233245
3.58   -0.93696117
3.77   -0.92264110
3.96   -0.90932765
4.15   -0.89696605
4.35   -0.88549793
4.54   -0.87486512
4.73   -0.86501149
4.92   -0.85588366
5.12   -0.84743126
5.31   -0.83960704
5.50   -0.83236689
5.69   -0.82566981
5.88   -0.81947783
6.08   -0.81375569
6.27   -0.80847062
6.46   -0.80359199
6.65   -0.79909096
6.85   -0.79494031
7.04   -0.79111421
7.23   -0.78758809
7.42   -0.78433865
7.62   -0.78134377
7.81   -0.77858256
8.00   -0.77603534
