   0.50000000  -1.04200288  -0.45723733
   0.53571429  -1.06897198  -0.49940578
   0.57142857  -1.08879780  -0.53373743
   0.60714286  -1.10304375  -0.56182288
   0.64285714  -1.11290754  -0.58488336
   0.67857143  -1.11931418  -0.60387053
   0.71428571  -1.12298514  -0.61953387
   0.75000000  -1.12448836  -0.63246923
   0.78571429  -1.12427497  -0.64315451
   0.82142857  -1.12270655  -0.65197596
   0.85714286  -1.12007537  -0.65924775
   0.89285714  -1.11661958  -0.66522663
   0.92857143  -1.11253449  -0.67012309
   0.96428571  -1.10798112  -0.67410997
   1.00000000  -1.10309267  -0.67732920
   1.03571429  -1.09797945  -0.67989727
   1.07142857  -1.09273268  -0.68190969
   1.10714286  -1.08742753  -0.68344481
   1.14285714  -1.08212539  -0.68456702
   1.17857143  -1.07687585  -0.68532953
   1.21428571  -1.07171819  -0.68577677
   1.25000000  -1.06668281  -0.68594638
   1.28571429  -1.06179241  -0.68587083
   1.32142857  -1.05706317  -0.68557864
   1.35714286  -1.05250586  -0.68509532
   1.39285714  -1.04812689  -0.68444394
   1.42857143  -1.04392927  -0.68364546
   1.46428571  -1.03991351  -0.68271894
   1.50000000  -1.03607832  -0.68168158
   1.53571429  -1.03242119  -0.68054871
   1.57142857  -1.02893885  -0.67933376
   1.60714286  -1.02562755  -0.67804827
   1.64285714  -1.02248331  -0.67670197
   1.67857143  -1.01950200  -0.67530286
   1.71428571  -1.01667939  -0.67385735
   1.75000000  -1.01401119  -0.67237049
   1.78571429  -1.01149302  -0.67084619
   1.82142857  -1.00912038  -0.66928745
   1.85714286  -1.00688865  -0.66769657
   1.89285714  -1.00478442  -0.66608399
   1.92857143  -1.00282216  -0.66443187
   1.96428571  -1.00098489  -0.66275339
   2.00000000  -0.99926842  -0.66104882
   2.03571429  -0.99766740  -0.65931942
   2.07142857  -0.99617647  -0.65756648
   2.10714286  -0.99479021  -0.65579138
   2.14285714  -0.99350323  -0.65399555
   2.17857143  -0.99231016  -0.65218054
   2.21428571  -0.99120572  -0.65034797
   2.25000000  -0.99018475  -0.64849951
